task,sample,MAIN_BAS,n,persistence_mae,rf_mae,difference
US_chronological_basin,all_candidates,7060073620,8,0.03888513558745843,0.02609496810402558,-0.012790167483432847
US_chronological_basin,all_candidates,7060073920,1,0.3278096082062588,0.24186139683745822,-0.0859482113688006
US_chronological_basin,exclude_screen_flags,7060008710,28,0.052029628421402005,0.05959979571982462,0.007570167298422624
US_chronological_basin,exclude_screen_flags,7060013180,1,0.02686032237579611,0.03890824796900633,0.012047925593210218
US_chronological_basin,exclude_screen_flags,7060013550,17,0.07214314553814276,0.07192110618715893,-0.0002220393509838297
US_chronological_basin,exclude_screen_flags,7060013560,2,0.10243803964684528,0.07715521372349357,-0.02528282592335171
US_chronological_basin,exclude_screen_flags,7060014200,1,0.021354600283237712,0.0014138594507057678,-0.019940740832531945
US_chronological_basin,exclude_screen_flags,7060014340,1,0.14239521982963838,0.1127135175690891,-0.02968170226054928
US_chronological_basin,exclude_screen_flags,7060014930,15,0.04175628047610649,0.051443439136512434,0.009687158660405953
US_chronological_basin,exclude_screen_flags,7060016090,2,0.026118309684949798,0.008190912828905106,-0.01792739685604469
US_chronological_basin,exclude_screen_flags,7060022240,1,0.027973989294032386,0.08840092987310472,0.06042694057907233
US_chronological_basin,exclude_screen_flags,7060042310,1,0.05986068591044369,0.0656725681538517,0.005811882243408006
US_chronological_basin,exclude_screen_flags,7060042740,1,0.06828941544622691,0.0635421751401622,-0.004747240306064715
US_chronological_basin,exclude_screen_flags,7060042940,1,0.14034705458601493,0.12121506630418571,-0.019131988281829215
US_chronological_basin,exclude_screen_flags,7060043090,1,0.03291174898082459,0.004679723716063303,-0.02823202526476129
US_chronological_basin,exclude_screen_flags,7060043160,1,0.009237677387737397,0.1773243154228844,0.168086638035147
US_chronological_basin,exclude_screen_flags,7060043500,3,0.032732063878881446,0.0230989916084948,-0.009633072270386645
US_chronological_basin,exclude_screen_flags,7060043640,1,0.03332172814162829,0.0426397133367111,0.009317985195082812
US_chronological_basin,exclude_screen_flags,7060047060,104,0.0734539833559547,0.10620042841123975,0.032746445055285046
US_chronological_basin,exclude_screen_flags,7060047970,2,0.1437240754008329,0.0832513137552934,-0.0604727616455395
US_chronological_basin,exclude_screen_flags,7060048410,1,0.3221176472756707,0.6001615692686086,0.2780439219929379
US_chronological_basin,exclude_screen_flags,7060049270,1,0.1820411838165089,0.6177881281560316,0.43574694433952266
US_chronological_basin,exclude_screen_flags,7060073620,8,0.03888513558745843,0.028689062765151343,-0.010196072822307084
US_to_BR_retrospective,all_candidates,6060007000,1,0.012177972400050904,0.06240418222936941,0.050226209829318504
US_to_BR_retrospective,all_candidates,6060007950,5,0.11191714842636902,0.09641359517590856,-0.015503553250460453
US_to_BR_retrospective,all_candidates,6060009760,1,0.004814663994752277,0.011289934974354182,0.006475270979601905
US_to_BR_retrospective,all_candidates,6060011780,6,0.21930684328391284,0.20281345916977575,-0.016493384114137134
US_to_BR_retrospective,all_candidates,6060013420,3,0.007948160734748267,0.07276431536318967,0.0648161546284414
US_to_BR_retrospective,all_candidates,6060013430,1,0.004671371594272101,0.0864805904547691,0.081809218860497
US_to_BR_retrospective,all_candidates,6060013750,4,0.019814453786049825,0.03140816891587652,0.011593715129826695
US_to_BR_retrospective,all_candidates,6060014460,1,0.0246785423343594,0.03813319926627129,0.01345465693191189
US_to_BR_retrospective,all_candidates,6060015560,8,0.031033867535747762,0.06034396556730243,0.02931009803155466
US_to_BR_retrospective,all_candidates,6060016760,7,0.06612208570126624,0.07054342794700895,0.004421342245742717
US_to_BR_retrospective,all_candidates,6060016970,54,0.03496351326060923,0.052942235898286186,0.017978722637676952
US_to_BR_retrospective,exclude_screen_flags,6060007000,1,0.012177972400050904,0.059020344928068395,0.04684237252801749
US_to_BR_retrospective,exclude_screen_flags,6060007950,5,0.11191714842636902,0.09529424001942889,-0.01662290840694013
US_to_BR_retrospective,exclude_screen_flags,6060009760,1,0.004814663994752277,0.010578104241407787,0.00576344024665551
US_to_BR_retrospective,exclude_screen_flags,6060011780,6,0.21930684328391284,0.20069217626489788,-0.018614667019014982
US_to_BR_retrospective,exclude_screen_flags,6060013420,3,0.007948160734748267,0.07332542431389746,0.06537726357914919
US_to_BR_retrospective,exclude_screen_flags,6060013430,1,0.004671371594272101,0.0872578244302444,0.0825864528359723
