ID,name,status,timezone,inflow_n_common,inflow_max_abs_error,inflow_different_values,inflow_mask_disagreements,outflow_n_common,outflow_max_abs_error,outflow_different_values,outflow_mask_disagreements,exact_flow_replay,upstream_negative_inflow_days,upstream_missing_inflow_days,linear_fill_days,long_gap_partial_fill_days,gradient_removed_days
458,Smith and Morehouse Reservoir,processed,America/Denver,6204.0,1.7763568394002505e-15,0.0,0.0,6209.0,3.552713678800501e-15,0.0,0.0,True,88.0,1.0,81.0,21.0,0.0
467,,processed,America/Denver,9780.0,1.4210854715202004e-14,0.0,0.0,9804.0,1.4210854715202004e-14,0.0,0.0,True,35.0,50.0,39.0,0.0,0.0
469,Red Fleet,processed,America/Denver,11438.0,1.7763568394002505e-15,0.0,0.0,13071.0,8.881784197001252e-16,0.0,0.0,True,272.0,3045.0,262.0,28.0,0.0
470,,processed,America/Denver,10672.0,1.4210854715202004e-14,0.0,0.0,10698.0,7.105427357601002e-15,0.0,0.0,True,60.0,467.0,58.0,7.0,0.0
471,Moon Lake,processed,America/Denver,10698.0,7.105427357601002e-15,0.0,0.0,10981.0,7.105427357601002e-15,0.0,0.0,True,446.0,3834.0,365.0,21.0,0.0
473,Steinaker,processed,America/Denver,14504.0,1.7763568394002505e-15,0.0,0.0,14610.0,8.881784197001252e-16,0.0,0.0,True,2259.0,0.0,2114.0,273.0,0.0
477,Deer Creek,processed,America/Denver,13147.0,1.4210854715202004e-14,0.0,0.0,14519.0,7.105427357601002e-15,0.0,0.0,True,11.0,1552.0,90.0,70.0,0.0
488,,processed,America/Denver,14596.0,7.105427357601002e-15,0.0,0.0,14570.0,7.105427357601002e-15,0.0,0.0,True,113.0,61.0,157.0,21.0,0.0
492,Lake Granby,processed,America/Denver,14582.0,3.552713678800501e-15,0.0,0.0,14363.0,1.4210854715202004e-14,0.0,0.0,True,1431.0,37.0,1436.0,28.0,0.0
493,Strawberry,processed,America/Denver,10525.0,7.105427357601002e-15,0.0,0.0,14001.0,8.881784197001252e-16,0.0,0.0,True,2034.0,3930.0,1856.0,161.0,0.0
497,,processed,America/Denver,14610.0,7.105427357601002e-15,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,27.0,0.0,27.0,0.0,0.0
500,,processed,America/Denver,6774.0,7.105427357601002e-15,0.0,0.0,14610.0,3.552713678800501e-15,0.0,0.0,True,12.0,7886.0,58.0,28.0,0.0
502,Green Mountain,processed,America/Denver,14419.0,1.4210854715202004e-14,0.0,0.0,14610.0,1.4210854715202004e-14,0.0,0.0,True,3.0,225.0,34.0,21.0,0.0
505,,processed,America/Denver,14587.0,1.7763568394002505e-15,0.0,0.0,14331.0,1.7763568394002505e-15,0.0,0.0,True,7.0,32.0,15.0,7.0,0.0
506,Scofield,processed,America/Denver,14532.0,7.105427357601002e-15,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,2133.0,16.0,2049.0,154.0,0.0
507,Rifle Gap,processed,America/Denver,8839.0,1.1368683772161603e-13,0.0,0.0,9035.0,1.1368683772161603e-13,0.0,0.0,True,110.0,5814.0,147.0,42.0,0.0
508,Marston Lake,processed,America/Denver,10656.0,1.7763568394002505e-15,0.0,0.0,10523.0,1.7763568394002505e-15,0.0,0.0,True,0.0,1340.0,137.0,126.0,0.0
509,,processed,America/Denver,14587.0,1.4210854715202004e-14,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,17.0,32.0,25.0,7.0,0.0
511,Chatfield Lake,processed,America/Denver,14519.0,1.4210854715202004e-14,0.0,0.0,14496.0,1.4210854715202004e-14,0.0,0.0,True,0.0,1.0,1.0,0.0,0.0
517,,processed,America/Denver,14604.0,7.105427357601002e-15,0.0,0.0,14586.0,7.105427357601002e-15,0.0,0.0,True,35.0,34.0,62.0,7.0,0.0
518,Joes Valley,processed,America/Denver,11389.0,7.105427357601002e-15,0.0,0.0,12376.0,1.2434497875801753e-14,0.0,0.0,True,235.0,3308.0,314.0,56.0,0.0
522,,processed,America/Denver,14610.0,1.4210854715202004e-14,0.0,0.0,14577.0,7.105427357601002e-15,0.0,0.0,True,4.0,1.0,5.0,0.0,0.0
524,,processed,America/Los_Angeles,9878.0,7.105427357601002e-15,0.0,0.0,14213.0,2.220446049250313e-16,0.0,0.0,True,0.0,4752.0,18.0,14.0,0.0
529,,processed,America/Denver,14556.0,1.7763568394002505e-15,0.0,0.0,14610.0,1.7763568394002505e-15,0.0,0.0,True,1263.0,0.0,1193.0,112.0,0.0
530,,processed,America/Denver,10957.0,7.105427357601002e-15,0.0,0.0,10957.0,3.552713678800501e-15,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
531,Paonia,processed,America/Denver,13422.0,1.1368683772161603e-13,0.0,0.0,13800.0,1.1368683772161603e-13,0.0,0.0,True,89.0,1219.0,114.0,42.0,0.0
533,Eleven Mile,processed,America/Denver,8293.0,3.552713678800501e-15,0.0,0.0,8293.0,7.105427357601002e-15,0.0,0.0,True,66.0,0.0,66.0,0.0,0.0
536,Taylor Park,processed,America/Denver,14599.0,7.105427357601002e-15,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,25.0,0.0,13.0,7.0,0.0
537,Crawford,processed,America/Denver,6549.0,8.881784197001252e-16,0.0,0.0,6967.0,8.881784197001252e-16,0.0,0.0,True,371.0,7889.0,187.0,84.0,0.0
541,Blue Mesa,processed,America/Denver,14610.0,5.684341886080802e-14,0.0,0.0,14610.0,5.684341886080802e-14,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
542,Morrow Point,processed,America/Denver,14610.0,5.684341886080802e-14,0.0,0.0,14610.0,5.684341886080802e-14,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
549,Silver Jack,processed,America/Denver,13452.0,7.105427357601002e-15,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,244.0,1284.0,359.0,77.0,0.0
55,Keechelus Lake,processed,America/Los_Angeles,14610.0,2.842170943040401e-14,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,1.0,0.0,1.0,0.0,0.0
567,McPhee,processed,America/Denver,13070.0,2.842170943040401e-14,0.0,0.0,13070.0,1.4210854715202004e-14,0.0,0.0,True,106.0,8.0,114.0,0.0,0.0
57,Kachess Lake,processed,America/Los_Angeles,14610.0,2.842170943040401e-14,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,44.0,0.0,44.0,0.0,0.0
572,Jackson Gulch,processed,America/Denver,14355.0,1.7763568394002505e-15,0.0,0.0,14610.0,4.440892098500626e-16,0.0,0.0,True,1223.0,30.0,973.0,175.0,0.0
574,Lemon,processed,America/Denver,14610.0,3.552713678800501e-15,0.0,0.0,14610.0,3.552713678800501e-15,0.0,0.0,True,20.0,1.0,21.0,0.0,0.0
575,Vallecito,processed,America/Denver,14610.0,5.684341886080802e-14,0.0,0.0,14610.0,1.4210854715202004e-14,0.0,0.0,True,31.0,0.0,31.0,0.0,0.0
585,H.V. Eastman Lake,processed,America/Los_Angeles,9052.0,4.547473508864641e-13,0.0,0.0,9321.0,1.4210854715202004e-14,0.0,0.0,True,1579.0,4277.0,2096.0,203.0,0.0
592,Hensley Lake,processed,America/Los_Angeles,9086.0,2.842170943040401e-14,0.0,0.0,9311.0,2.842170943040401e-14,0.0,0.0,True,855.0,4296.0,1434.0,140.0,0.0
595,Millerton Lake,processed,America/Los_Angeles,9231.0,1.1368683772161603e-13,0.0,0.0,11094.0,5.684341886080802e-14,0.0,0.0,True,7.0,3752.0,206.0,7.0,0.0
597,Lake Powell,processed,America/Phoenix,14610.0,4.547473508864641e-13,0.0,0.0,14610.0,4.547473508864641e-13,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
60,Bumping Lake,processed,America/Los_Angeles,14610.0,1.4210854715202004e-14,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
600,Pine Flat Lake,processed,America/Los_Angeles,9238.0,2.2737367544323206e-13,0.0,0.0,11323.0,5.684341886080802e-14,0.0,0.0,True,1.0,4103.0,556.0,21.0,0.0
601,Navajo,processed,America/Denver,14610.0,5.684341886080802e-14,0.0,0.0,14610.0,2.842170943040401e-14,0.0,0.0,True,25.0,0.0,25.0,0.0,0.0
605,Lake Kaweah,processed,America/Los_Angeles,9202.0,5.684341886080802e-14,0.0,0.0,8895.0,1.4210854715202004e-14,0.0,0.0,True,81.0,4248.0,744.0,28.0,0.0
609,Success Lake,processed,America/Los_Angeles,9178.0,2.842170943040401e-14,0.0,0.0,9353.0,7.105427357601002e-15,0.0,0.0,True,304.0,3134.0,920.0,77.0,0.0
