DAM_ID,STORAGE,STORAGE_START,STORAGE_END,DATA_SOURCE,INFLOW,INFLOW_START,INFLOW_END,DATA_SOURCE.1,OUTFLOW,OUTFLOW_START,OUTFLOW_END,DATA_SOURCE.2,ELEVATION,ELEVATION_START,ELEVATION_END,DATA_SOURCE.3,EVAPORATION,EVAPORATION_START,EVAPORATION_END,DATA_SOURCE.4
610,1,5/28/37,1/28/21,BOR,0,NA,NA,NA,1,4/1/34,1/28/21,BOR,1,2/2/35,1/28/21,BOR,0,NA,NA,NA
612,1,1/1/85,1/1/21,CDEC,1,1/2/94,1/1/21,CDEC,1,10/1/93,1/1/21,CDEC,0,NA,NA,NA,0,NA,NA,NA
613,1,12/31/74,1/27/21,BOR,1,9/17/11,1/27/21,BOR,1,10/1/70,1/27/21,BOR,1,12/31/74,1/27/21,BOR,0,NA,NA,NA
614,1,1/2/74,1/27/21,BOR,0,NA,NA,NA,1,1/1/10,1/27/21,BOR,1,12/31/74,1/27/21,BOR,0,NA,NA,NA
616,1,2/2/50,1/28/21,BOR,0,NA,NA,usgs_9422500,1,3/1/49,1/28/21,usgs_9422500,1,1/8/50,1/28/21,BOR,0,NA,NA,NA
619,1,4/30/07,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
620,1,1/7/05,12/31/20,CDEC,1,1/7/05,12/31/20,CDEC,1,1/7/05,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,NA
623,1,1/31/80,12/31/20,usgs_9398300,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
624,1,4/30/07,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
625,1,10/1/85,12/31/20,usgs_11109700,0,NA,NA,NA,1,1/1/80,12/31/20,usgs_11109800,0,NA,NA,NA,0,NA,NA,NA
627,1,12/31/84,12/31/20,usgs_9384600,0,NA,NA,NA,1,1/1/80,12/31/20,usgs_9385500,0,NA,NA,NA,0,NA,NA,NA
629,1,10/1/38,1/28/21,BOR,0,NA,NA,usgs_9427500,1,1/2/35,1/28/21,usgs_9427500,1,11/15/38,1/28/21,BOR,0,NA,NA,NA
640,1,1/1/80,12/31/20,usgs_9509501,0,NA,NA,usgs_9509501,0,NA,NA,usgs_9509501,0,NA,NA,NA,0,NA,NA,NA
643,1,12/1/79,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
644,1,1/1/80,12/31/20,usgs_9509502,0,NA,NA,NA,1,1/1/80,12/31/20,usgs_9510000,0,NA,NA,NA,0,NA,NA,NA
648,1,9/30/03,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
654,1,10/1/87,12/31/20,usgs_11042510,0,NA,NA,NA,1,1/1/80,12/31/20,usgs_11042400,0,NA,NA,NA,0,NA,NA,NA
656,1,10/1/87,12/31/20,usgs_09469000,1,NA,NA,usgs_09468500,1,1/1/80,12/31/20,usgs_09469500,0,NA,NA,NA,0,NA,NA,NA
657,1,3/21/15,1/28/21,BOR,1,1/1/02,1/28/21,BOR,1,10/1/16,1/28/21,usgs_8361000,1,3/21/15,1/28/21,BOR,0,NA,NA,NA
662,1,10/1/87,12/31/20,usgs_11042510,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
664,1,2/8/38,1/27/21,BOR,1,1/1/02,1/27/21,BOR,1,1/1/02,1/27/21,BOR,1,2/8/38,1/27/21,BOR,0,NA,NA,NA
665,1,10/1/87,12/31/20,usgs_11022100,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
725,0,NA,NA,NA,1,3/1/98,12/31/19,CAN,0,NA,NA,CAN,1,3/1/98,12/31/19,CAN,0,NA,NA,NA
726,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,4/2/58,12/31/19,CAN,0,NA,NA,NA
740,1,1/1/65,12/31/20,ACE_MIS,0,NA,NA,NA,1,1/1/65,12/31/20,usgs_5074500,1,1/1/65,12/31/20,ACE_MIS,0,NA,NA,NA
744,0,NA,NA,NA,0,NA,NA,NA,1,1/1/04,3/3/21,CAN,1,1/1/04,3/3/21,CAN,0,NA,NA,NA
753,1,1/2/67,2/6/20,ACE_OMA,1,12/1/53,2/6/20,ACE_OMA,1,12/1/53,2/6/20,ACE_OMA,1,12/1/53,2/6/20,ACE_OMA,0,NA,NA,NA
758,1,1/1/00,7/3/20,ACE_STP,1,1887-01-01,7/3/20,ACE_STP,1,1887-01-01,7/3/20,ACE_STP,1,1/1/00,7/3/20,ACE_STP,0,NA,NA,NA
761,0,NA,NA,NA,0,NA,NA,NA,1,1/1/21,12/31/20,MIN,1,1/1/21,12/31/20,MIN,0,NA,NA,NA
762,0,NA,NA,NA,0,NA,NA,NA,1,6/25/97,3/2/21,MIN,1,6/25/97,3/2/21,MIN,0,NA,NA,NA
763,0,NA,NA,NA,0,NA,NA,NA,1,1/1/21,12/31/20,MIN,1,1/1/98,12/31/20,MIN,0,NA,NA,NA
767,1,1/1/30,7/5/20,ACE_STP,0,NA,NA,ACE_STP,1,1885-01-01,7/5/20,ACE_STP,1,1/1/30,7/5/20,ACE_STP,0,NA,NA,NA
768,1,4/17/35,7/3/20,ACE_STP,1,1884-01-01,7/3/20,ACE_STP,1,1884-01-01,7/3/20,ACE_STP,1,1/1/35,7/3/20,ACE_STP,0,NA,NA,NA
773,0,NA,NA,NA,0,NA,NA,NA,1,1/1/21,12/31/20,MIN,1,1/1/21,12/31/20,MIN,0,NA,NA,NA
774,1,5/6/51,12/31/20,ACE_STP,0,NA,NA,NA,1,5/6/51,12/31/20,ACE_STP,1,5/6/51,12/31/20,ACE_STP,0,NA,NA,NA
775,0,NA,NA,NA,0,NA,NA,NA,1,1/1/21,12/31/20,MIN,1,1/1/21,12/31/20,MIN,0,NA,NA,NA
777,1,3/1/74,5/26/20,ACE_OMA,1,5/2/74,5/26/20,BOR ,1,5/2/74,5/26/20,BOR ,1,3/1/74,5/26/20,BOR ,0,NA,NA,NA
778,0,NA,NA,NA,0,NA,NA,NA,1,1/1/21,12/31/20,MIN,1,1/1/21,12/31/20,MIN,0,NA,NA,NA
780,1,10/1/53,5/5/20,BOR,1,2/1/54,5/5/20,BOR,1,10/1/53,5/5/20,BOR,1,10/1/53,5/5/20,BOR,0,NA,NA,NA
784,1,10/1/51,5/5/20,BOR,1,5/12/52,5/5/20,BOR,1,10/1/51,5/5/20,BOR,1,10/1/51,5/5/20,BOR,0,NA,NA,NA
789,1,1/1/00,7/4/20,ACE_STP,1,1/1/99,7/4/20,ACE_STP,1,1/1/99,7/4/20,ACE_STP,1,1/1/00,7/4/20,ACE_STP,0,NA,NA,NA
792,1,1/1/00,5/27/20,ACE_STP,1,1/1/98,5/27/20,ACE_STP,1,1/1/98,5/27/20,ACE_STP,1,1/1/00,5/27/20,ACE_STP,0,NA,NA,NA
798,1,10/1/49,5/5/20,BOR,1,10/4/49,5/5/20,BOR,1,10/1/49,5/5/20,BOR,1,10/1/49,5/5/20,BOR,0,NA,NA,NA
806,1,1/1/12,7/5/20,ACE_STP,0,NA,NA,NA,1,1/1/12,7/5/20,ACE_STP,1,1/1/12,7/5/20,ACE_STP,0,NA,NA,NA
827,1,7/20/67,10/1/19,ACE_OMA,1,3/3/67,10/1/19,ACE_OMA,1,3/23/69,10/1/19,ACE_OMA,1,3/3/67,10/1/19,ACE_OMA,0,NA,NA,NA
830,1,8/31/50,11/17/19,ACE_STP,1,9/1/50,11/17/19,ACE_STP,1,8/8/50,11/17/19,ACE_STP,1,8/7/50,11/17/19,ACE_STP,0,NA,NA,NA
836,1,4/1/42,5/27/20,ACE_STP,1,4/1/42,5/27/20,DUKE,1,4/1/42,5/27/20,DUKE,1,4/1/42,5/27/20,DUKE,0,NA,NA,NA
837,1,10/1/51,5/5/20,BOR,1,10/1/51,5/5/20,BOR,1,10/1/51,5/5/20,BOR,1,10/1/51,5/5/20,BOR,0,NA,NA,NA
854,1,10/1/83,5/27/20,ACE_STP,1,10/1/83,5/27/20,DUKE,1,10/1/83,5/27/20,DUKE,1,10/1/83,5/27/20,DUKE,0,NA,NA,NA
858,1,3/28/40,7/5/20,ACE_STP,0,NA,NA,NA,0,NA,NA,NA,1,3/28/40,7/5/20,ACE_STP,0,NA,NA,NA
861,1,3/15/40,12/31/20,ACE_STP,0,NA,NA,NA,1,10/1/42,12/31/20,ACE_STP,1,3/15/40,12/31/20,ACE_STP,0,NA,NA,NA
