ID,date,cars,upstream,abs_difference
1109,2001-11-09,2752.078083333333,2.152,2749.926083333333
1109,2001-11-08,6680.568124999999,9430.47,2749.9018750000005
1109,1991-11-22,515.2439861111111,-1117.201,1632.4449861111111
1112,2018-05-23,7857.590916666667,9925.378,2067.7870833333336
1112,2018-05-24,2067.7870833333336,0.0,2067.7870833333336
1112,1982-12-03,2877.9355,3818.832,940.8964999999998
1120,1987-05-28,1217.2685833333333,1523.444,306.1754166666667
1120,1983-10-20,856.4655416666666,1064.712,208.2464583333334
1120,1987-05-29,815.0519583333333,628.633,186.4189583333333
1121,1982-12-05,677.2527500000001,233.755,443.4977500000001
1121,1982-12-04,1711.2620000000002,2007.746,296.4839999999999
1121,1993-12-04,1036.9045,1325.396,288.49149999999986
1122,1982-12-05,412.98636965,139.2903392,273.69603044999997
1122,1982-12-04,1008.62317855,1234.074461,225.4512824499999
1122,1993-12-04,504.1239904,662.5848032,158.46081279999999
1124,1993-12-03,305.1915,400.145,94.95349999999996
1124,1993-12-04,153.3425,71.075,82.2675
1124,1994-01-26,194.1185,254.143,60.02449999999999
1125,1982-12-05,677.2527500000001,233.755,443.4977500000001
1125,1982-12-04,1711.2620000000002,2007.746,296.4839999999999
1125,1993-12-04,1036.9045,1325.396,288.49149999999986
1127,2015-12-28,452.499,593.053,140.55399999999997
1127,2015-12-31,203.789,69.433,134.356
1127,2011-11-23,563.1257499999999,696.112,132.98625000000004
1128,2002-03-19,1102.93925,1441.325,338.38575000000014
1128,1996-11-07,1105.77075,1429.998,324.22725000000014
1128,2002-04-08,1610.856608695652,1919.879,309.0223913043478
1134,2008-03-20,166.00720833333332,79.287,86.72020833333332
1134,2002-03-21,134.50449999999998,59.465,75.03949999999998
1134,2005-01-05,126.00975000000004,53.802,72.20775000000003
114,2005-12-30,63.097,88.863,25.766
114,2005-12-31,51.29633333333334,32.513,18.78333333333334
114,1992-05-08,18.202125,0.479,17.723125
1144,1990-03-08,1449.5937499999998,1788.206,338.61225000000013
1144,2015-12-28,1712.30975,1990.841,278.53125
1144,1993-12-03,1057.10825,1283.232,226.12374999999997
1151,2007-06-18,1742.8306249999996,2175.24,432.4093750000002
1151,2007-06-19,575.6862083333333,154.751,420.9352083333333
1151,1990-04-27,518.1040416666665,185.588,332.5160416666665
1170,1990-05-04,634.0790416666666,339.773,294.3060416666666
1170,1990-05-03,1514.79325,1752.442,237.64875000000006
1170,1989-05-17,992.155625,1184.35,192.19437499999992
1192,2015-12-04,916.169,1214.083,297.9140000000001
1192,2016-03-09,1205.46725,1463.412,257.9447500000001
1192,2015-12-05,528.3422499999999,299.762,228.58024999999992
1197,1989-05-18,222.57508333333328,24.098,198.47708333333327
1197,1989-05-17,792.3275833333333,976.788,184.46041666666667
1197,2004-07-29,677.4852500000001,829.399,151.91374999999994
1237,2015-10-25,413.0975000000001,197.595,215.50250000000008
1237,2015-10-24,1059.67575,1232.007,172.33124999999995
1237,2001-12-16,398.38224999999994,524.031,125.64875
1249,1991-12-21,45.222,59.607,14.384999999999998
1249,1991-12-22,20.0625,6.881,13.1815
1249,1997-06-25,19.038541666666667,6.06,12.978541666666668
131,1996-05-25,807.8230000000001,-1919.709,2727.532
131,1995-01-05,22.625333333333337,-1874.6,1897.2253333333333
131,1996-11-22,940.0703333333332,101.204,838.8663333333333
132,1997-01-02,4284.652666666667,3379.44,905.2126666666668
132,2004-02-17,2427.712666666667,3140.05,712.3373333333334
132,1995-03-09,1834.356,2456.698,622.3419999999999
133,1983-01-26,337.5646666666667,444.064,106.49933333333331
133,1995-01-10,325.615,237.748,87.86700000000002
133,2004-02-17,259.5233333333333,342.888,83.36466666666666
144,2001-11-14,2.5014444444444446,74536639.004,74536636.50255555
144,1995-03-10,618.7313333333333,904.948,286.2166666666667
144,2005-12-31,754.9726666666667,1006.86,251.88733333333334
148,1997-01-01,6781.534,7766.364,984.8299999999999
148,1997-01-02,6030.827333333334,5163.059,867.7683333333334
148,1996-12-31,4016.389,4811.874,795.4849999999997
1585,2012-09-04,202.09805555555553,-9.985,212.08305555555552
1585,2012-09-03,160.48038888888888,-27.292,187.77238888888888
1585,2012-09-01,77.24505555555555,-107.029,184.27405555555555
1586,2003-07-05,240.54366666666667,287.147,46.603333333333325
1586,1990-12-30,288.375625,331.845,43.469375000000014
1586,1989-05-26,205.29395833333336,247.34,42.04604166666664
1587,2015-06-28,54.00216666666671,0.297,53.70516666666671
1587,1998-08-05,342.95050000000003,395.338,52.38749999999999
1587,1998-07-22,235.397875,287.486,52.08812499999999
1592,1998-08-05,455.040375,556.326,101.28562500000004
1592,1999-01-25,276.42679166666665,184.052,92.37479166666665
1592,1990-12-30,455.91516666666666,535.711,79.79583333333335
1595,2017-01-08,1188.3757916666666,1491.106,302.7302083333334
1595,2016-01-13,362.3570833333333,65.78,296.57708333333335
1595,2016-01-12,1194.9202083333332,1489.35,294.4297916666667
1600,2011-02-28,138.18529166666667,172.953,34.76770833333333
1600,2012-11-20,36.88024999999999,3.579,33.30124999999999
1600,2012-11-19,132.03875,163.425,31.386250000000018
1606,2015-12-10,35.92895833333334,9.71,26.21895833333334
1606,2015-12-09,109.76725,135.561,25.793750000000003
1606,2014-02-06,22.460833333333326,1.13,21.330833333333327
1615,2011-09-08,281.8033333333333,323.364,41.56066666666669
1615,2006-06-29,106.02316666666668,73.811,32.212166666666675
1615,2011-09-09,172.7206666666667,142.592,30.128666666666675
1617,1994-01-28,66.89970833333334,81.402,14.502291666666665
1617,1982-01-02,51.94720833333333,65.327,13.37979166666667
1617,1982-01-14,53.98404166666667,66.998,13.013958333333335
1619,2012-11-30,22.963458333333335,0.507,22.456458333333334
1619,2012-11-29,86.34466666666667,108.298,21.953333333333333
1619,2006-10-08,19.09049999999999,0.314,18.77649999999999
1620,2016-01-04,725.6535416666667,916.615,190.96145833333333
1620,2016-01-05,193.4718333333334,3.171,190.3008333333334
1620,2004-09-17,97.38166666666667,116.269,18.88733333333333
163,2006-03-05,10.146999999999998,7.419,2.727999999999999
163,2006-01-07,7.872333333333333,5.154,2.718333333333333
163,2006-03-04,13.290333333333333,15.603,2.312666666666667
1631,2000-12-17,430.0272916666667,522.7,92.67270833333333
1631,2004-01-06,316.97687499999995,227.95,89.02687499999996
1631,1994-01-28,448.8093750000001,536.32,87.51062499999995
1634,1997-03-01,605.9409166666666,746.438,140.49708333333342
1634,1983-04-29,506.6438333333333,599.707,93.06316666666669
1634,2010-05-02,596.9968333333334,687.85,90.85316666666665
1636,2004-09-17,272.12433333333337,325.898,53.77366666666666
1636,1998-06-28,350.7225,399.89,49.16749999999996
1636,1998-06-29,155.13833333333332,106.188,48.95033333333332
1645,2011-02-28,290.35241666666667,363.007,72.65458333333333
1645,2013-04-20,136.43866666666668,73.015,63.423666666666676
1645,2011-03-01,152.5186666666667,97.127,55.391666666666694
1650,1998-06-28,73.59,87.842,14.251999999999995
1650,2004-09-17,60.08616666666666,71.993,11.906833333333338
1650,2004-09-18,18.388833333333334,7.668,10.720833333333335
1654,1993-08-17,307.7217083333333,387.084,79.36229166666669
