ID,source,start,window,n_days,top10_inflow_share
1127,upstream,2000,early,3653,0.10031326214663679
1127,upstream,2000,late,3651,0.09287832506278092
1134,cars,1980,early,3653,0.1209935755105892
1134,cars,1980,late,3652,0.09122921877363879
1134,upstream,1980,early,3653,0.1340864571581566
1134,upstream,1980,late,3652,0.10312145645945722
114,cars,2000,early,3638,0.034657742460789266
114,cars,2000,late,3651,0.031546081557388764
114,upstream,2000,early,3577,0.037894849169345365
114,upstream,2000,late,3548,0.036219896847570564
1151,cars,2000,early,3653,0.15789430414984154
1151,cars,2000,late,3652,0.12646106885287442
1151,upstream,2000,early,3653,0.18173702036026176
1151,upstream,2000,late,3652,0.1430597230693471
1192,cars,1980,early,3283,0.041181375664407105
1192,cars,1980,late,3652,0.021481420799539068
1192,cars,2000,early,3653,0.025691767020240727
1192,cars,2000,late,3287,0.04748074369237683
1192,upstream,1980,early,3279,0.04184819776598671
1192,upstream,1980,late,3652,0.02265196446177004
1192,upstream,2000,early,3653,0.02656376497929236
1192,upstream,2000,late,3285,0.04943719382194593
1207,cars,1980,early,3653,0.06526204874847678
1207,cars,1980,late,3234,0.04855608244599283
1237,cars,1980,early,3653,0.14323505023240374
1237,cars,1980,late,3652,0.12305817692810773
1237,cars,2000,early,3653,0.1497091085913904
1237,cars,2000,late,3652,0.16653716469840318
1237,upstream,1980,early,3653,0.17347654298743534
1237,upstream,1980,late,3652,0.15293437942919244
1237,upstream,2000,early,3653,0.16542848595945459
1237,upstream,2000,late,3652,0.19072541905246987
1249,cars,2000,early,3653,0.24713908149207625
1249,cars,2000,late,3652,0.1984306234475167
1249,upstream,2000,early,3653,0.28068356280406453
1249,upstream,2000,late,3652,0.23786864785186299
131,cars,1980,early,3653,0.031876806425879714
131,cars,1980,late,3644,0.05993474649219287
131,cars,2000,early,3652,0.02667039439542433
131,cars,2000,late,3639,0.03298893888126491
131,upstream,2000,early,3164,0.031723392107135415
131,upstream,2000,late,2741,0.04386878292281491
132,cars,2000,early,3650,0.02439829911012079
132,cars,2000,late,3287,0.035207618172338515
132,upstream,2000,early,3640,0.026313215835140336
132,upstream,2000,late,3283,0.03632892807607979
133,cars,2000,early,3646,0.013110218922620714
133,cars,2000,late,3287,0.018749558595984237
133,upstream,2000,early,3585,0.01452379186353385
133,upstream,2000,late,3240,0.020435166492980078
144,cars,2000,early,3569,0.07284657702362593
144,cars,2000,late,3611,0.0797672188467495
148,cars,2000,early,3640,0.031860976653129695
148,cars,2000,late,3652,0.04841723130467383
148,upstream,2000,early,3555,0.03591416700175858
148,upstream,2000,late,3638,0.05009971901598719
1586,cars,2000,early,3653,0.053711680058791636
1586,cars,2000,late,3652,0.038449823090514236
1586,upstream,2000,early,3653,0.05424626959767996
1586,upstream,2000,late,3652,0.039855982672166064
1587,cars,2000,early,3653,0.04852521784332882
1587,cars,2000,late,3652,0.043490936833257075
1587,upstream,2000,early,3653,0.04956682322271454
1587,upstream,2000,late,3652,0.045726569918676185
1592,cars,2000,early,3653,0.047352091177573497
1592,cars,2000,late,3652,0.0423518168179939
1592,upstream,2000,early,3653,0.04866753915619005
1592,upstream,2000,late,3652,0.04497514295405283
1595,cars,1980,early,3638,0.023111064585418208
1595,cars,1980,late,3641,0.02614526191836551
1595,cars,2000,early,3651,0.02416689829075836
1595,cars,2000,late,2917,0.045347980556639536
1595,upstream,1980,early,3636,0.02462579362606442
1595,upstream,1980,late,3638,0.028248662138749183
1595,upstream,2000,early,3649,0.02618160383348792
1595,upstream,2000,late,2910,0.052082899792150666
1600,cars,1980,early,3641,0.04412608098765915
1600,cars,1980,late,3647,0.0435135959181125
1600,cars,2000,early,3653,0.03959619239326091
1600,cars,2000,late,2912,0.05990992107898564
1600,upstream,1980,early,3636,0.046834054722694654
1600,upstream,1980,late,3631,0.047345728914039334
1600,upstream,2000,early,3652,0.04496209489916264
1600,upstream,2000,late,2903,0.06645330197462697
1606,cars,1980,early,3638,0.03330341528703107
1606,cars,1980,late,3639,0.040971302004270814
1606,upstream,1980,early,3635,0.03679121423440923
1606,upstream,1980,late,3632,0.04545705075964457
1617,cars,1980,early,3631,0.04688236023617278
1617,cars,1980,late,3641,0.042879136510771555
1617,cars,2000,early,3651,0.048401990438453515
1617,cars,2000,late,2917,0.044101389487731714
1617,upstream,1980,early,3628,0.05521546806059073
1617,upstream,1980,late,3635,0.04733037848108126
1617,upstream,2000,early,3649,0.05315328846665048
1617,upstream,2000,late,2912,0.048774906781413906
1619,cars,1980,early,3639,0.043888222478947574
1619,cars,1980,late,3641,0.04076037120209206
1619,cars,2000,early,3653,0.052104204437362106
1619,cars,2000,late,2922,0.048333341542482665
1619,upstream,1980,early,3638,0.049212141135007166
1619,upstream,1980,late,3637,0.045371708214738904
1619,upstream,2000,early,3652,0.05877001341127257
1619,upstream,2000,late,2921,0.05674052307024789
1620,cars,1980,early,3642,0.040820075517211146
1620,cars,1980,late,3638,0.034283236775148475
1620,cars,2000,early,3649,0.04474796680174176
1620,cars,2000,late,2922,0.11609994544171974
1620,upstream,1980,early,3639,0.04426002718683339
1620,upstream,1980,late,3633,0.03641472480739281
1620,upstream,2000,early,3645,0.048144775066302804
1620,upstream,2000,late,2922,0.12390056445319149
1631,cars,1980,early,3627,0.04022717945645077
1631,cars,1980,late,3641,0.041844241637214986
1631,cars,2000,early,3653,0.05263327295668777
1631,cars,2000,late,2917,0.04316167425611055
1631,upstream,1980,early,3623,0.0445898905815296
1631,upstream,1980,late,3637,0.046242660700603774
1631,upstream,2000,early,3649,0.05808265432412503
1631,upstream,2000,late,2914,0.047911565494862016
1634,cars,2000,early,3653,0.03226528610859936
1634,cars,2000,late,3652,0.0428429582551852
1634,upstream,2000,early,3653,0.033791530906375336
1634,upstream,2000,late,3652,0.04430885618282644
1636,cars,1980,early,3631,0.06199492760441733
1636,cars,1980,late,3641,0.07610146498842638
1636,cars,2000,early,3653,0.07388872112338943
1636,cars,2000,late,2920,0.06089285741600939
1636,upstream,1980,early,3628,0.07004209827514292
1636,upstream,1980,late,3631,0.08251842946489839
1636,upstream,2000,early,3652,0.08046798587357051
1636,upstream,2000,late,2912,0.07204123638874356
1645,cars,2000,early,3653,0.07107547358385889
1645,cars,2000,late,3652,0.07888703539876565
1645,upstream,2000,early,3653,0.0784889218344006
1645,upstream,2000,late,3652,0.09023247959384843
1650,cars,1980,early,3613,0.04946157125744059
1650,cars,1980,late,3652,0.07230549387819231
1650,cars,2000,early,3646,0.06890694396359336
1650,cars,2000,late,2920,0.0714771821647216
1650,upstream,1980,early,3611,0.05594608733988289
1650,upstream,1980,late,3652,0.08125618696951815
1650,upstream,2000,early,3642,0.0794169441213045
1650,upstream,2000,late,2917,0.08359133690111945
1654,cars,2000,early,3653,0.05240030432298606
1654,cars,2000,late,3652,0.04940533746044468
1654,upstream,2000,early,3653,0.05382831497803444
1654,upstream,2000,late,3652,0.051633560027682206
1655,cars,2000,early,3653,0.07672228259512417
1655,cars,2000,late,3652,0.052496332393627665
1655,upstream,2000,early,3653,0.0848842745063124
1655,upstream,2000,late,3652,0.057609658042725324
1656,cars,2000,early,3653,0.051063014819714654
1656,cars,2000,late,3652,0.04918762468110275
1656,upstream,2000,early,3653,0.05765567966945564
1656,upstream,2000,late,3652,0.054045678904052194
168,cars,2000,early,3282,0.05287538010080876
168,cars,2000,late,3652,0.05726225477198333
1683,cars,2000,early,3653,0.07300457401077748
1683,cars,2000,late,3652,0.06387563664465476
1683,upstream,2000,early,3653,0.08176287361880719
1683,upstream,2000,late,3652,0.07436785477522884
169,cars,2000,early,3653,0.03879993693368443
169,cars,2000,late,3652,0.04858325657968903
169,upstream,2000,early,2830,0.054025007116428464
169,upstream,2000,late,3600,0.05907396453808327
1691,cars,1980,early,3653,0.03826884577890537
1691,cars,1980,late,3652,0.051463950279738914
1691,cars,2000,early,3653,0.04506700895436734
1691,cars,2000,late,2915,0.04384061216455996
1691,upstream,1980,early,3653,0.042989956118511315
1691,upstream,1980,late,3650,0.05937693847462309
1691,upstream,2000,early,3651,0.05287949164626319
1691,upstream,2000,late,2908,0.04834362721128194
1699,cars,1980,early,3653,0.03294178636283723
1699,cars,1980,late,3652,0.035431393578434875
1699,cars,2000,early,3653,0.030955431505365158
1699,cars,2000,late,2912,0.03727528882298636
1699,upstream,1980,early,3653,0.036099022970297275
1699,upstream,1980,late,3646,0.04045889902900717
1699,upstream,2000,early,3651,0.03586958215430886
1699,upstream,2000,late,2900,0.0416371507558797
1703,cars,2000,early,3653,0.09253468934142943
1703,cars,2000,late,3652,0.09604694143331216
1703,upstream,2000,early,3653,0.10553318633777789
1703,upstream,2000,late,3652,0.1078724813675059
1706,cars,1980,early,3627,0.04509719133467453
1706,cars,1980,late,3641,0.03699819423669535
1706,cars,2000,early,3651,0.045502606726053066
1706,cars,2000,late,2909,0.05762257382619577
1706,upstream,1980,early,3624,0.049149818771040306
1706,upstream,1980,late,3638,0.040341213091026014
1706,upstream,2000,early,3647,0.04958461880751416
1706,upstream,2000,late,2901,0.06411369932856645
1707,cars,1980,early,3653,0.07613165833626105
1707,cars,1980,late,3652,0.0668891131838376
1707,cars,2000,early,3653,0.0862989124086861
1707,cars,2000,late,2911,0.09002613551858779
1707,upstream,1980,early,3651,0.08728031071404951
1707,upstream,1980,late,3650,0.07576664811135496
1707,upstream,2000,early,3652,0.1021874302810991
1707,upstream,2000,late,2906,0.10377656502176552
1709,cars,1980,early,3653,0.029516082932353874
1709,cars,1980,late,3652,0.030736270745286
1709,cars,2000,early,3653,0.033712426132374906
1709,cars,2000,late,2914,0.042477065011403435
1709,upstream,1980,early,3649,0.03239465185216479
1709,upstream,1980,late,3652,0.03391291448002573
