scenario,task,model,ID,MAIN_BAS,fold,n_train,observed,predicted,group,absolute_error
cars,US,persistence,1755,7060047060,0,45,0.5328497903478746,0.4465506210077354,Common cohort,0.0862991693401392
cars,US,persistence,1756,7060047060,0,45,0.3989681966623302,0.419797249927433,CARS-only,0.020829053265102815
cars,US,persistence,1762,7060047060,0,45,0.4511495750341707,0.4121540653842189,CARS-only,0.0389955096499518
cars,US,persistence,1768,7060047060,0,45,0.0108149491283479,0.0156198566137,Common cohort,0.004804907485352099
cars,US,persistence,1775,7060047060,0,45,0.3236428659482365,0.3075368103047898,CARS-only,0.016106055643446693
cars,US,persistence,1777,7060047060,0,45,0.2890938942180809,0.2886660346592506,Common cohort,0.00042785955883029025
cars,US,persistence,1848,7060047060,0,45,0.4800253185821163,0.4965865816445569,Common cohort,0.0165612630624406
cars,US,persistence,1864,7060047060,0,45,0.5318920034094353,0.5031150877157544,Common cohort,0.028776915693680905
cars,US,persistence,1869,7060047060,0,45,0.6181993694029078,0.6560245547725599,Common cohort,0.03782518536965218
cars,US,persistence,300,7060047060,0,45,0.5006788204045888,0.5772129020618625,CARS-only,0.07653408165727371
cars,US,persistence,307,7060047060,0,45,0.1352866923347701,0.1519989650409947,Common cohort,0.016712272706224607
cars,US,persistence,319,7060047060,0,45,0.2372024373509443,0.2544675264363524,Common cohort,0.01726508908540811
cars,US,persistence,355,7060047060,0,45,0.122724691887676,0.1516369310882742,Common cohort,0.028912239200598197
cars,US,persistence,362,7060047060,0,45,0.3864645066597572,0.6834958479568398,Common cohort,0.29703134129708264
cars,US,persistence,364,7060047060,0,45,0.1616776878300633,0.1383190194230687,Common cohort,0.023358668406994604
cars,US,persistence,368,7060047060,0,45,0.4096064798436735,0.379082216342184,Common cohort,0.030524263501489513
cars,US,persistence,373,7060047060,0,45,0.3755858001183966,0.4735180279084399,Common cohort,0.09793222779004329
cars,US,persistence,393,7060047060,0,45,0.2235727680227117,0.2314521309874739,Common cohort,0.007879362964762188
cars,US,persistence,398,7060047060,0,45,0.2636061818578061,0.2256658031207516,Common cohort,0.0379403787370545
cars,US,persistence,399,7060047060,0,45,0.135802535162478,0.17167226445145,CARS-only,0.035869729288972
cars,US,persistence,415,7060047060,0,45,0.0743980713500463,0.0750463971974288,Common cohort,0.0006483258473825027
cars,US,persistence,416,7060047060,0,45,0.1825672414052594,0.1542414064691299,Common cohort,0.0283258349361295
cars,US,persistence,421,7060047060,0,45,0.2531768818393909,0.4033623249586614,Common cohort,0.1501854431192705
cars,US,persistence,500,7060047060,0,45,0.3571003479835103,0.3883913567909292,Common cohort,0.03129100880741886
cars,US,persistence,505,7060047060,0,45,0.2380137560020025,0.2088538510923839,Common cohort,0.02915990490961859
cars,US,persistence,511,7060047060,0,45,0.0833569004764847,0.1180013290055557,Common cohort,0.034644428529071
cars,US,persistence,522,7060047060,0,45,0.0714074460062018,0.1169125442810004,Common cohort,0.045505098274798594
cars,US,persistence,529,7060047060,0,45,0.2180083634577565,0.2302628819214546,CARS-only,0.0122545184636981
cars,US,persistence,530,7060047060,0,45,0.2488253084209274,0.2226738725900746,Common cohort,0.026151435830852804
cars,US,persistence,533,7060047060,0,45,0.0503228514519442,0.0713632421776792,Common cohort,0.021040390725735
cars,US,persistence,7313,7060047060,0,45,0.1875167246437204,0.2052085272596382,Common cohort,0.017691802615917795
cars,US,persistence,7318,7060047060,0,45,0.0114181878752913,0.0099909413991786,Common cohort,0.0014272464761126997
cars,US,persistence,753,7060047060,0,45,0.1511584235672694,0.2411793974574633,Common cohort,0.0900209738901939
cars,US,persistence,777,7060047060,0,45,0.2787970887167416,0.2140993852279181,CARS-only,0.06469770348882348
cars,US,persistence,780,7060047060,0,45,0.4455792710797019,0.4442817632653582,CARS-only,0.0012975078143437346
cars,US,persistence,784,7060047060,0,45,0.215681702320542,0.3129427696607423,CARS-only,0.09726106734020029
cars,US,persistence,798,7060047060,0,45,0.2298971311256772,0.3916034615304203,CARS-only,0.1617063304047431
cars,US,persistence,837,7060047060,0,45,0.1446783707599708,0.5838143499999546,CARS-only,0.4391359792399838
cars,US,persistence,868,7060047060,0,45,0.6617214722807061,0.8731623129809849,CARS-only,0.2114408407002788
cars,US,persistence,870,7060047060,0,45,0.0572896286251267,0.1928439733415778,Common cohort,0.1355543447164511
cars,US,persistence,882,7060047060,0,45,0.0748740561065813,0.1199354700610599,Common cohort,0.0450614139544786
cars,US,persistence,884,7060047060,0,45,0.058890091762423,0.0597863332871911,Common cohort,0.000896241524768103
cars,US,persistence,885,7060047060,0,45,0.0602136975593663,0.1590744547316412,Common cohort,0.0988607571722749
cars,US,persistence,893,7060047060,0,45,0.3039675883467522,0.6684285946386119,CARS-only,0.36446100629185973
