source,ID,period,MAIN_BAS,flagged,early_start,early_end,late_start,late_end,early_nyears,late_nyears,mean_shift,season_shift,abs_shape_change,early_shape,early_ratio,early_low10,early_cv,early_zero_delta,early_mean_in,early_concentration,early_trend,early_month1,early_month2,early_month3,early_month4,early_month5,early_month6,early_month7,early_month8,early_month9,early_month10,early_month11,early_month12,late_shape,late_ratio,late_low10,late_cv,late_zero_delta,late_mean_in,late_concentration,late_trend,late_month1,late_month2,late_month3,late_month4,late_month5,late_month6,late_month7,late_month8,late_month9,late_month10,late_month11,late_month12
raw_common_dates,63,train,7060014930.0,False,1980,1989,1990,1999,10,10,0.113530959730845,0.0582859050614652,0.027016201401905082,0.2992416905942454,0.9816933463220173,-0.3085485574091422,0.8682480131707132,0.11552148918696961,13.549245004106215,0.10615948059180465,-0.27324774686538406,0.06283964777973675,0.06826799149302626,0.0839344802037329,0.10825573419036665,0.17387244857056594,0.1668533103041188,0.08926194583932177,0.05277002352057339,0.042857807854112966,0.03482138296833774,0.04936643395005337,0.06689879332605347,0.32625789199615046,0.990256639463115,-0.2585480312190634,0.9062524653722043,0.050109529025191675,15.17822426067908,0.09910601841786672,0.4910183328258044,0.06929008427162658,0.08430619217178151,0.07087789972646111,0.09874587041968937,0.16169638310778964,0.1469551761540838,0.0957293385680814,0.05054782194940995,0.04266006986178731,0.04286293514219286,0.07065475693825868,0.06567347168883766
raw_common_dates,63,test,7060014930.0,False,2000,2009,2010,2019,10,10,0.16658732320258898,0.0614651571854446,0.0940410383087964,0.3629869753237469,1.0098732686174858,-0.26173820678245596,0.9103170031150144,0.0,13.062670681631536,0.10797680060405546,0.08801823651232675,0.07717511084301719,0.054084506085929615,0.06830416973609252,0.10047266084601815,0.18319189245737705,0.16995705765647534,0.08498125317071552,0.04631298386418055,0.04216385218338027,0.03707662460505417,0.07467854435279848,0.06160134419896116,0.2689459370149505,1.000922470727676,-0.253718323494965,0.7840053458044229,0.0,15.430497671870722,0.09830987466857284,-0.025994912129504062,0.06840922142700215,0.06794107228093946,0.07766396238675263,0.10462205068389907,0.16472223715721462,0.14198549660668194,0.08943382904234778,0.05052091488349513,0.04650220574503529,0.05052805054576544,0.06842049293332467,0.06925046630754167
gap1_common_dates,63,train,7060014930.0,False,1980,1989,1990,1999,10,10,0.113530959730845,0.0582859050614652,0.027016201401905082,0.2992416905942454,0.9816933463220173,-0.3085485574091422,0.8682480131707132,0.11552148918696961,13.549245004106215,0.10615948059180465,-0.27324774686538406,0.06283964777973675,0.06826799149302626,0.0839344802037329,0.10825573419036665,0.17387244857056594,0.1668533103041188,0.08926194583932177,0.05277002352057339,0.042857807854112966,0.03482138296833774,0.04936643395005337,0.06689879332605347,0.32625789199615046,0.990256639463115,-0.2585480312190634,0.9062524653722043,0.050109529025191675,15.17822426067908,0.09910601841786672,0.4910183328258044,0.06929008427162658,0.08430619217178151,0.07087789972646111,0.09874587041968937,0.16169638310778964,0.1469551761540838,0.0957293385680814,0.05054782194940995,0.04266006986178731,0.04286293514219286,0.07065475693825868,0.06567347168883766
gap1_common_dates,63,test,7060014930.0,False,2000,2009,2010,2019,10,10,0.16658732320258898,0.0614651571854446,0.0940410383087964,0.3629869753237469,1.0098732686174858,-0.26173820678245596,0.9103170031150144,0.0,13.062670681631536,0.10797680060405546,0.08801823651232675,0.07717511084301719,0.054084506085929615,0.06830416973609252,0.10047266084601815,0.18319189245737705,0.16995705765647534,0.08498125317071552,0.04631298386418055,0.04216385218338027,0.03707662460505417,0.07467854435279848,0.06160134419896116,0.2689459370149505,1.000922470727676,-0.253718323494965,0.7840053458044229,0.0,15.430497671870722,0.09830987466857284,-0.025994912129504062,0.06840922142700215,0.06794107228093946,0.07766396238675263,0.10462205068389907,0.16472223715721462,0.14198549660668194,0.08943382904234778,0.05052091488349513,0.04650220574503529,0.05052805054576544,0.06842049293332467,0.06925046630754167
gap3_common_dates,63,train,7060014930.0,False,1980,1989,1990,1999,10,10,0.113530959730845,0.0582859050614652,0.027016201401905082,0.2992416905942454,0.9816933463220173,-0.3085485574091422,0.8682480131707132,0.11552148918696961,13.549245004106215,0.10615948059180465,-0.27324774686538406,0.06283964777973675,0.06826799149302626,0.0839344802037329,0.10825573419036665,0.17387244857056594,0.1668533103041188,0.08926194583932177,0.05277002352057339,0.042857807854112966,0.03482138296833774,0.04936643395005337,0.06689879332605347,0.32625789199615046,0.990256639463115,-0.2585480312190634,0.9062524653722043,0.050109529025191675,15.17822426067908,0.09910601841786672,0.4910183328258044,0.06929008427162658,0.08430619217178151,0.07087789972646111,0.09874587041968937,0.16169638310778964,0.1469551761540838,0.0957293385680814,0.05054782194940995,0.04266006986178731,0.04286293514219286,0.07065475693825868,0.06567347168883766
gap3_common_dates,63,test,7060014930.0,False,2000,2009,2010,2019,10,10,0.16658732320258898,0.0614651571854446,0.0940410383087964,0.3629869753237469,1.0098732686174858,-0.26173820678245596,0.9103170031150144,0.0,13.062670681631536,0.10797680060405546,0.08801823651232675,0.07717511084301719,0.054084506085929615,0.06830416973609252,0.10047266084601815,0.18319189245737705,0.16995705765647534,0.08498125317071552,0.04631298386418055,0.04216385218338027,0.03707662460505417,0.07467854435279848,0.06160134419896116,0.2689459370149505,1.000922470727676,-0.253718323494965,0.7840053458044229,0.0,15.430497671870722,0.09830987466857284,-0.025994912129504062,0.06840922142700215,0.06794107228093946,0.07766396238675263,0.10462205068389907,0.16472223715721462,0.14198549660668194,0.08943382904234778,0.05052091488349513,0.04650220574503529,0.05052805054576544,0.06842049293332467,0.06925046630754167
gap7_common_dates,63,train,7060014930.0,False,1980,1989,1990,1999,10,10,0.113530959730845,0.0582859050614652,0.027016201401905082,0.2992416905942454,0.9816933463220173,-0.3085485574091422,0.8682480131707132,0.11552148918696961,13.549245004106215,0.10615948059180465,-0.27324774686538406,0.06283964777973675,0.06826799149302626,0.0839344802037329,0.10825573419036665,0.17387244857056594,0.1668533103041188,0.08926194583932177,0.05277002352057339,0.042857807854112966,0.03482138296833774,0.04936643395005337,0.06689879332605347,0.32625789199615046,0.990256639463115,-0.2585480312190634,0.9062524653722043,0.050109529025191675,15.17822426067908,0.09910601841786672,0.4910183328258044,0.06929008427162658,0.08430619217178151,0.07087789972646111,0.09874587041968937,0.16169638310778964,0.1469551761540838,0.0957293385680814,0.05054782194940995,0.04266006986178731,0.04286293514219286,0.07065475693825868,0.06567347168883766
gap7_common_dates,63,test,7060014930.0,False,2000,2009,2010,2019,10,10,0.16658732320258898,0.0614651571854446,0.0940410383087964,0.3629869753237469,1.0098732686174858,-0.26173820678245596,0.9103170031150144,0.0,13.062670681631536,0.10797680060405546,0.08801823651232675,0.07717511084301719,0.054084506085929615,0.06830416973609252,0.10047266084601815,0.18319189245737705,0.16995705765647534,0.08498125317071552,0.04631298386418055,0.04216385218338027,0.03707662460505417,0.07467854435279848,0.06160134419896116,0.2689459370149505,1.000922470727676,-0.253718323494965,0.7840053458044229,0.0,15.430497671870722,0.09830987466857284,-0.025994912129504062,0.06840922142700215,0.06794107228093946,0.07766396238675263,0.10462205068389907,0.16472223715721462,0.14198549660668194,0.08943382904234778,0.05052091488349513,0.04650220574503529,0.05052805054576544,0.06842049293332467,0.06925046630754167
cars,7308,test,7060043500.0,False,2000,2009,2010,2019,10,10,0.3797232626718053,0.0712401639902245,0.0292175951242713,0.12064089507313541,0.9818066130975722,-0.17393461485074266,0.6892331097270148,0.07966055297016152,130.3010713888955,0.08572928735279293,0.2645467683495373,0.07331106550218866,0.06870037010889551,0.07632506572328926,0.05951942311305869,0.07550624833259609,0.09161348727899864,0.10752495750521378,0.0982099262343651,0.10513376400266254,0.0851805000999152,0.07628257490716989,0.08269261719164667,0.1498584901974067,0.9880345668570696,-0.2545033046936254,0.5802170636093785,0.0755750273822563,190.4845272049661,0.08637869960207763,0.17156925763040146,0.1118550855378836,0.07958983383500437,0.06420812423644966,0.06308865947489299,0.057881915942968314,0.07906087647906163,0.10039371000390793,0.09671038021716216,0.08933409414824346,0.08066468415902295,0.07842123659922944,0.09879139936617351
raw,7308,test,7060043500.0,False,2000,2009,2010,2019,10,10,0.37293232061161585,0.07133483914571047,0.04139801343247762,0.13151636261207936,0.992567489894455,-0.16574041015217614,0.7244383152273273,0.16361071932299012,131.9666095909732,0.08564364425851767,0.2454365716904408,0.07228845303221987,0.06976747725459492,0.0774053434053373,0.05940519667847508,0.07590925396948991,0.09182165627565861,0.10692329230924338,0.09741208396582243,0.10504764368195706,0.08432852049972865,0.07685428081456114,0.08283679811291153,0.17291437604455698,0.9906784950666534,-0.28729942690079663,0.6153003192873013,0.1556420233463035,191.61367843246248,0.08642448625403253,0.17835045729535123,0.11181308555639577,0.07981914346530714,0.06377759185661132,0.06282678497416433,0.05759617730700225,0.07924572298015181,0.09957925216964722,0.09693328587259648,0.0895443697464767,0.08083655502904107,0.07835071323788091,0.09967731780472483
