source,ID,period,MAIN_BAS,flagged,early_start,early_end,late_start,late_end,early_nyears,late_nyears,mean_shift,season_shift,abs_shape_change,early_shape,early_ratio,early_low10,early_cv,early_zero_delta,early_mean_in,early_concentration,early_trend,early_month1,early_month2,early_month3,early_month4,early_month5,early_month6,early_month7,early_month8,early_month9,early_month10,early_month11,early_month12,late_shape,late_ratio,late_low10,late_cv,late_zero_delta,late_mean_in,late_concentration,late_trend,late_month1,late_month2,late_month3,late_month4,late_month5,late_month6,late_month7,late_month8,late_month9,late_month10,late_month11,late_month12,feature_last_date,annual_shape_usable_years,annual_shape_sd,annual_shape_trend_abs,paired_invalid_fraction,negative_inflow_fraction,missing_inflow_fraction
cars,415,test,7060047060.0,False,2000,2009,2010,2019,10,9,0.309394566468622,0.0857337586992865,0.0006483258473824,0.0750463971974288,0.9112988882419646,0.0411744632690134,0.7652020526565466,0.0,31.952450512939535,0.1169323171715061,-0.0276009874718429,0.0409105312736274,0.0381770041016871,0.0549469405923924,0.1081581634960814,0.1071077618875832,0.151744377367717,0.18684041676638,0.1472618149758424,0.0672684537063164,0.0187838535791446,0.0374841781480714,0.041316504105156,0.0743980713500463,0.9350092870525094,0.0443895443632018,1.0737926134535989,0.0,43.53840589546875,0.1370166537041605,-0.2490723851535893,0.0271116467464039,0.0251584378794928,0.0528099569069206,0.0955334535546128,0.1263701520756222,0.2057474073105447,0.1993087553347999,0.1405012193699352,0.0671743730625367,0.0073581986137955,0.0263994534485917,0.0265269456967434,2009-09-30,10,0.0188801273806806,0.0013633688852841418,0.0,0.0,0.0
raw,415,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.2867789211617776,0.0626571777405763,0.0572408965649701,0.0410044899753651,0.933170039309598,-0.0057993150546207,0.8097301182300448,0.0,48.833353134410075,0.1094960108150968,-0.1162322698185022,0.0411916168980175,0.0374616064235041,0.0506845409242478,0.0777580578055933,0.1084812715708236,0.1404950636908299,0.1743656878635367,0.1488158812980938,0.0890644646141722,0.0425486290046284,0.0466661033634621,0.0424670765430898,0.0982453865403353,0.9171322491271175,0.1761138367800371,0.8935697544599868,-0.0098928276999175,36.65810772190162,0.1163372608845434,0.3060722128331424,0.0370776948353694,0.0341460279711248,0.0634696531950716,0.0921876210420818,0.1197451216484963,0.1591466295505057,0.1674080348546322,0.1543429675940094,0.0821177219408496,0.0162042021740306,0.0375899106299668,0.0365644145638612,1989-09-30,10,0.01543453297596386,0.0010428903494266617,0.0,0.0,0.0
raw,415,test,7060047060.0,False,2000,2009,2010,2019,10,9,0.309379621058535,0.0856893382888136,0.0011163973406731,0.0756970763272155,0.9112564277144676,0.046097454361381,0.7687308198501036,-0.0002737476047084,31.954042157131127,0.1169447786157778,-0.0276497392943233,0.0408842287834063,0.038249670713438,0.0551006751449667,0.1085178912679444,0.1072277222396016,0.1521735346092624,0.1868497303597361,0.1466292748184165,0.0667523324029319,0.0185911850063612,0.0376972074148785,0.0413265472390559,0.0745806789865424,0.9350048873034432,0.0496831368571434,1.074587372405342,0.0,43.53992394280498,0.1370399516001567,-0.2490872138402492,0.0271457302422312,0.0251451535061869,0.0531286463060349,0.0958268598427301,0.1268150328409043,0.2061530692677877,0.1989722233887218,0.1400512857671201,0.0665174121670622,0.0072877034550988,0.0264975205730355,0.0264593626430861,2009-09-30,10,0.018312470482060923,0.0007625794477338168,0.0,0.0,0.0
cars,416,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.2135315516073816,0.0953553364356666,0.0412974690671605,0.1960284693729651,0.9686292992396828,-0.0635592453349295,0.8771950836287825,0.0,50.41385639149081,0.0936850144432586,-0.2597495096224253,0.0769283484410176,0.0717314405611881,0.0839559730772482,0.101801688770192,0.1167933114685913,0.147589184794166,0.1125918583067378,0.0655604316930656,0.0419733314386757,0.0533419072718553,0.059060301724509,0.0686722224527528,0.1547310003058045,0.8972141200842985,-0.1638935358488057,0.7561427155371724,0.0147864184008762,40.72061658057129,0.1024421698269024,0.4561271270385816,0.0505244347511309,0.0509382107804955,0.083625166892628,0.1009140124116682,0.1273310038833175,0.1694815532190278,0.1259200085706585,0.100256212704774,0.0568746757591252,0.0401788996632567,0.0446665817488847,0.0492892396150325,1989-09-30,10,0.07302365096269244,0.009682150118062744,0.0,0.0,0.0
cars,416,test,7060047060.0,False,2000,2009,2010,2019,10,9,0.3360280610759849,0.1660320237029262,0.0283258349361294,0.1542414064691299,0.9826239277783338,-0.1183915821915058,0.6299105700403722,0.0,32.517514579480036,0.0978611451160484,0.2462078389958466,0.0534797412080684,0.053576274359485,0.066731085230414,0.1006032225139845,0.1311224446628856,0.1412902179000779,0.1356057515728797,0.1013937248839962,0.0598225358189268,0.0525497533764486,0.0512354426428591,0.0525898058299737,0.1825672414052594,0.9565703404959414,-0.0716780182310494,1.109489558985452,0.0,45.50430402274221,0.1336369447179643,-0.2242556193297097,0.035067302927488,0.0414323657160894,0.0586128907903602,0.1286806818927784,0.1711731587176714,0.2391940681694243,0.1235710394302041,0.0627509552581957,0.0437194174004916,0.0313851167578142,0.0308043557482212,0.0336086471912609,2009-09-30,10,0.11597369040505105,0.03208212661698129,0.0,0.0,0.0
raw,416,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.2129644093988008,0.0956939423778184,0.0324879425795369,0.1841121267598047,0.9685818679938214,-0.0476264393082898,0.8868623829525908,0.0,50.417373939228035,0.0936956712653702,-0.2598221717504003,0.077132584146331,0.0715735622858489,0.0840508320289239,0.1022300423108678,0.116684646971562,0.147959034995839,0.1117254633070681,0.0654726417938901,0.0418119284559368,0.0534443263035735,0.0591689844076112,0.068745952992547,0.1516241841802678,0.8973198381154895,-0.2105699212003524,0.7664592214484736,0.0153592978606692,40.74656034009874,0.1025488205642692,0.4555243512807694,0.0505756322182046,0.0510943047001688,0.0839158158920077,0.1010394861580951,0.1278979701661042,0.1696477494618928,0.1257431385917575,0.1000947961382226,0.0559640035441374,0.0401606712792471,0.0446311966039704,0.0492352352461911,1989-09-30,10,0.07116637031535593,0.008645061035435483,0.0,0.0,0.0
raw,416,test,7060047060.0,False,2000,2009,2010,2019,10,9,0.3360562908329977,0.1659024797788096,0.0315074905556201,0.1473947237024346,0.9826769880752682,-0.1116510674495997,0.6406012253594627,0.0002737476047084,32.51737831918971,0.0978665649980574,0.2462366740365374,0.0535627760053136,0.0536690427522917,0.0667084937117538,0.1012023110504544,0.1312662622828149,0.1412887242764998,0.1354054796179108,0.1010051665776087,0.0595783847661554,0.0525653855977266,0.0512618227017576,0.052486150659712,0.1789022142580548,0.9565807051324318,-0.0644494968362055,1.1147514746183935,0.0006084575600851,45.5053979312443,0.1335760306242445,-0.2242656007824061,0.0351329923429083,0.041566600920709,0.0589613017623393,0.1291314690929895,0.1716611173339873,0.2388671909616021,0.1227296503228791,0.0625090175583565,0.0436836750873599,0.0313900851220069,0.0310922370205541,0.0332746624743075,2009-09-30,10,0.1090207853358221,0.02973437347923231,0.0,0.0,0.0
cars,419,test,7060008710.0,False,2000,2009,2010,2019,10,10,0.2731215710118591,0.1228417189994443,0.070748887784105,0.5123694735582704,0.9731779616045748,-0.0949758907009911,1.5548394665442866,0.5482720789906748,1.8427922290757393,0.1983534653889277,0.1099574634985931,0.0199299274061817,0.0150299555419729,0.0405114415746536,0.0603081097785444,0.2746505891928134,0.3127778544248861,0.1156933540334301,0.0513643344618145,0.0307342928481429,0.0358698501484748,0.0230793349948999,0.0200509555941852,0.4416205857741654,0.990799263040574,-0.0825920854695994,1.7629136141644923,0.6467688937568455,2.4215395320610504,0.2155181791025994,0.3158428006152405,0.0104286642640697,0.011132150041353,0.0380071622760778,0.052050908420773,0.195305320193013,0.3771451282366976,0.1534583902835329,0.0691956639065551,0.0336123723409324,0.0271793715983728,0.0190154645255002,0.013469403913122,2009-09-30,10,0.11555270409362757,0.018743141426168192,0.04325212154393649,0.042704626334519574,0.0
raw,419,test,7060008710.0,False,2000,2009,2010,2019,9,10,0.2670504249288846,0.1210342577362389,0.0592438332558433,0.5000644879242638,0.8833196874535177,-0.0834695687946645,1.5422421578127483,0.5403276622558286,1.880925015752993,0.1966024747231623,0.1560051265413672,0.0199634643293128,0.0149611661934159,0.0436218688735918,0.06061015173057,0.2679381901945308,0.3149742648980177,0.1170699236322071,0.0490157881266105,0.0293059227585134,0.0378730115764408,0.0239649343322742,0.0207013133545146,0.4408206546684204,0.9864337134375948,-0.0871091477871219,1.769883892830675,0.6192200557103065,2.4566880222841228,0.2166667062715979,0.3160432740109109,0.0103417310031963,0.0110147842680602,0.0383819509247112,0.0523851098303647,0.1976479418924634,0.3781611450069222,0.1520774963688459,0.0687219584761511,0.0324395572996685,0.027022136150421,0.0183408148525258,0.0134653739266693,2009-09-30,9,0.12666019040023263,0.01735904603112867,0.04325212154393649,0.042704626334519574,0.0
cars,42,test,7060016090.0,False,2000,2009,2010,2019,10,10,0.1138445276291457,0.0376327131562073,0.0258717654049529,0.3379496880808614,0.9586161835460318,0.2462971210637109,0.9671500100287184,0.0,103.5288525631504,0.1132947137893784,0.0036262238993454,0.0635752114453711,0.0361195277939832,0.0530794252286869,0.081021930072693,0.1793028613138317,0.1924276711541176,0.1111610289752035,0.0583596039309046,0.0369574919491133,0.0494292792787142,0.0796846981549387,0.0588812707024419,0.3638214534858144,0.9324248271039156,0.2897566640704344,0.8344537214635749,0.0052026286966046,116.01214341180928,0.1095696653046283,-0.0813850819744714,0.0551746943738983,0.0516866057077502,0.0520916652439811,0.0835823500192277,0.185872209518149,0.1697220139466931,0.1160706698930165,0.055955627650203,0.0397355905393475,0.0516292693900722,0.0827328356271216,0.055746468090539,2009-09-30,10,0.0992118328502509,0.004202444038231343,0.0,0.0,0.0
raw,42,test,7060016090.0,False,2000,2009,2010,2019,10,10,0.1138417820059672,0.0375859951849635,0.0278055277689229,0.338416261423155,0.9585682950437427,0.2433142544309462,0.988215512363526,0.0,103.5319531891596,0.113351955605132,0.003648944296363,0.0637441146730429,0.035861483892645,0.0534086625217501,0.081527806982098,0.180522827437094,0.1917528433366567,0.1102321965451155,0.0580926592909388,0.0369507292031399,0.0493817375082867,0.079781471407261,0.0587434672019711,0.366221789192078,0.9323976334612862,0.28947044210855,0.8474933467706554,0.0057518488085456,116.0152993700356,0.1096692123681963,-0.081376304236842,0.0553967940901305,0.0514690071784702,0.0522174893875976,0.0839315982130238,0.1868194439867627,0.1695473899968113,0.1151802936823059,0.0556809890802518,0.0398050169801413,0.0521919447254685,0.082446943394431,0.0553130892846049,2009-09-30,10,0.09786555100440522,0.004006931521932039,0.0,0.0,0.0
cars,421,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.1668273833835568,0.0534706871399782,0.041061746901047,0.4451925713611003,0.986260680766853,0.1940324995462856,1.474036545153828,0.0,44.954281819092515,0.1694301679306444,-0.3379563695115632,0.0242003507901842,0.0276867511625725,0.0519364860057869,0.109862244723108,0.235510862118287,0.2802019184004112,0.1209358659206138,0.0413124450533405,0.0206772106350305,0.0313899576920979,0.0294142050736887,0.0268717024248782,0.4041308244600533,0.9125367103871348,0.2099189724079727,1.3999429108809447,0.0,38.04686275717495,0.1790363777009081,0.5680285464918959,0.0254037561512752,0.0274877920480956,0.063153186580064,0.0901649886499843,0.2219955958129778,0.316279490299925,0.108356152186887,0.0369238179138626,0.0221842758917063,0.0288220839326093,0.0328801491221092,0.026348711410503,1989-09-30,10,0.20763309054840456,0.02050748238115,0.0,0.0,0.0
cars,421,test,7060047060.0,False,2000,2009,2010,2019,10,9,0.4046794936819497,0.0797349587884873,0.1501854431192705,0.4033623249586614,0.9814841438520796,0.3390100505943146,1.4162097025869955,0.0,29.240185207750624,0.1690411691003824,0.6303553851502042,0.0317005500562269,0.0306398265459941,0.0678724592074326,0.1196043723474239,0.257690406307077,0.2668498527999904,0.0786666242595133,0.0299509579505581,0.0224696185833329,0.032059420766229,0.0320609376341657,0.0304349735420556,0.2531768818393909,0.9586370963335792,0.1793428503001562,1.621727019079147,0.0,43.82583407615861,0.1840335959931956,-0.2793518825467403,0.0262316889277769,0.0279604087356901,0.052544251190184,0.0998908100765339,0.2355492212232092,0.3137420614920448,0.1108686038273948,0.0305917284791096,0.0199403488157275,0.0282249725364893,0.0283303279255597,0.0261255767702798,2009-09-30,10,0.15777804095704154,0.02546071555788849,0.0010949904188338351,0.0010949904188338351,0.0
raw,421,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.1666774785745899,0.0533073569349807,0.0415160552391577,0.4455121024404503,0.9861486561051058,0.2248402743941746,1.4807942390385251,-0.0005474952094169,44.96080618669587,0.1694809427125689,-0.3381121147341491,0.0242465766560984,0.0278394191004635,0.0520701532633359,0.110563432913632,0.23692556996368,0.2793420129129714,0.1197754591438569,0.0408087464931663,0.0206961899016891,0.0315838246439358,0.0293062561865712,0.0268423588205988,0.4039960472012925,0.9124972245428798,0.2433122674470639,1.407176822676083,-0.0005477951246233,38.05808929060531,0.1788797408040993,0.5676321965624882,0.0254166525009081,0.0275862949460325,0.0634797169320171,0.0905692507533856,0.2238341863830755,0.3149182982861673,0.1073799926598101,0.0365211582023944,0.0222959922787812,0.0289375139924348,0.0328578858577732,0.0262030572072198,1989-09-30,10,0.20503390303683564,0.01954833536200989,0.0,0.0,0.0
raw,421,test,7060047060.0,False,2000,2009,2010,2019,10,9,0.4038733032505732,0.0797745309916217,0.1485760513867321,0.4035093113691528,0.9810530256015092,0.3715797247576254,1.4232378751598942,0.0,29.26424472458207,0.1691139344665244,0.6307953710951666,0.0315478744724141,0.0307547778916127,0.0682837323877443,0.120284510510344,0.2593305671517546,0.265269637620012,0.0777819374250721,0.0298060043491595,0.0223972643257617,0.0321341446952368,0.0320141374609029,0.0303954117099847,0.2549332599824206,0.9586458049940266,0.1982314453864177,1.6261910044955408,0.0,43.826548220261635,0.1838689022993919,-0.2795242059170935,0.0262568935493865,0.0279883852782934,0.0528855266103348,0.1003605953785348,0.2372576133712491,0.3123159801952915,0.1099618553278007,0.0303542748627731,0.0198940267502508,0.0282960116637575,0.0286065674276553,0.0258222695846718,2009-09-30,10,0.1608649606662115,0.02763212499489575,0.0010949904188338351,0.0010949904188338351,0.0
cars,423,train,7060008710.0,False,1980,1989,1990,1999,10,10,0.0980595258272754,0.0473015747005786,0.2065798815045535,0.1017046910685604,0.9916868463121792,-0.0001705512315081,1.2151432704392306,0.0,50.91334290906423,0.1463183544831937,-0.1926425616771446,0.0257878497711926,0.0240219703764801,0.0385305167671408,0.0837983877864685,0.1591710462218389,0.2629905683817813,0.173047997289601,0.0754351170750543,0.0453280030810489,0.0481045775117484,0.035836159458639,0.0279478062790055,0.3082845725731139,0.9860167407254582,0.1871193265977264,1.2824098014422929,0.0,46.15777887320031,0.1606250200755872,0.6057708652588382,0.0246373861357345,0.0223190295966305,0.0482045751684828,0.0649204400455075,0.1514513545319003,0.2991139860543332,0.1720171230239621,0.0769392157017391,0.0414658823539886,0.037623319783568,0.0357067021644225,0.0256009854397302,1989-09-30,10,0.11118652585679864,0.020225414270961906,0.0,0.0,0.0
cars,423,test,7060008710.0,False,2000,2009,2010,2019,10,10,0.406323514241831,0.0517670075376891,0.0671620497069183,0.3281289426471836,0.9858451211314578,0.1990465687625178,1.157789881956303,0.0,31.653438552113215,0.1376626148407516,0.3788037304911826,0.0348284022959362,0.0316397819278649,0.0600116224286553,0.0907994914457011,0.1587369194758604,0.2610630902036417,0.1426272954829794,0.0539701691140889,0.0387995465883184,0.046717084764651,0.0450489355104304,0.0357576607618718,0.2609668929402653,0.9880440517998884,0.2354241466112502,1.274428591959591,0.0,47.52093258502389,0.1549899138564109,0.2955942916748743,0.027458065205655,0.0268845208563356,0.0519702390652332,0.0839989530339168,0.1693898029106976,0.2864810268552021,0.158323482934271,0.0517197123144642,0.0342977565604665,0.0423595321476673,0.0372945934932792,0.0298223146228109,2009-09-30,10,0.05293499147480263,0.0052607968343907265,0.0,0.0,0.0
raw,423,train,7060008710.0,False,1980,1989,1990,1999,10,10,0.0978654194248288,0.0476598855418228,0.2072785834307088,0.1013464267299283,0.9916997879455364,-0.0052202191391465,1.2165425961189185,0.0,50.917402682726525,0.1463519978815453,-0.1928060390174807,0.0258064955598798,0.0240674160550902,0.0387275093473554,0.084281767707481,0.1602863447084383,0.2630811309720506,0.1720403879818628,0.0747425157393547,0.0453425931409759,0.0480397467389362,0.0357020891771105,0.0278820028714642,0.3086250101606371,0.9860519308350388,0.1867017865052484,1.284255025203651,0.0,46.170420547945206,0.1606566605738797,0.6056248326211116,0.0245457278034887,0.022369181573199,0.0485024762488774,0.0652282593193228,0.1523942907525416,0.2993181514809027,0.1709984691319446,0.0763904138708033,0.0414063953120433,0.0376534380207312,0.0356289668588442,0.0255642296273006,1989-09-30,10,0.11095811125610268,0.020209768415278433,0.0,0.0,0.0
raw,423,test,7060008710.0,False,2000,2009,2010,2019,10,10,0.4065277264463346,0.0517901452757251,0.067434812263302,0.3286078843081458,0.9858212070405676,0.2011174915616969,1.160238805396418,0.0,31.654133862578703,0.1376544519128466,0.3787620875773704,0.0348044643588292,0.0316553510957308,0.0603999733604424,0.0909085798859527,0.1602496860940134,0.2608144742910671,0.1412694250773729,0.0536388927370459,0.038793116308573,0.046792178787096,0.0448993034841893,0.0357745545196871,0.2611730720448437,0.9879503973797212,0.2364317761537316,1.2760966671830938,0.0,47.53168200493016,0.1550534939950474,0.2948008264964568,0.0273963530478836,0.0269135428423986,0.052297456794102,0.0842098422254317,0.1704075756336051,0.2866212644363988,0.1570948906681746,0.0513493483805358,0.0344133395297798,0.0423178195187962,0.0372364302491121,0.0297421366737811,2009-09-30,10,0.052917723502045495,0.00530659934133658,0.0,0.0,0.0
