date,upstream_inflow,upstream_negative,upstream_missing,filtered_inflow,missing_run_length,linear_inflow,filled_in_linear_step,partially_filled_long_gap,utc_replay_inflow,utc_step_new_finite_on_date_label,CARS_inflow
1975-09-03,-0.113,True,False,,2,0.3299999999999999,True,False,0.2724999999999999,False,0.2724999999999999
1975-09-04,-0.139,True,False,,2,0.606,True,False,0.5485,False,0.5485
1975-09-05,0.882,False,False,0.882,0,0.882,False,False,0.8245,False,0.8245
1975-09-06,1.252,False,False,1.252,0,1.252,False,False,1.1749166666666666,False,1.1749166666666666
1975-09-07,0.597,False,False,0.597,0,0.597,False,False,0.7334583333333333,False,0.7334583333333333
1975-09-08,0.444,False,False,0.444,0,0.444,False,False,0.475875,False,0.475875
1975-09-09,0.462,False,False,0.462,0,0.462,False,False,0.45825,False,0.45825
1975-09-10,0.462,False,False,0.462,0,0.462,False,False,0.462,False,0.462
1975-09-11,0.417,False,False,0.417,0,0.417,False,False,0.426375,False,0.426375
1975-09-12,0.425,False,False,0.425,0,0.425,False,False,0.4233333333333333,False,0.4233333333333333
1975-09-13,-0.298,True,False,,1,0.2774999999999999,True,False,0.3082291666666666,False,0.3082291666666666
1975-09-14,0.13,False,False,0.13,0,0.13,False,False,0.1607291666666666,False,0.1607291666666666
1975-09-15,0.158,False,False,0.158,0,0.158,False,False,0.1521666666666666,False,0.1521666666666666
1975-09-16,0.425,False,False,0.425,0,0.425,False,False,0.369375,False,0.369375
1975-09-17,0.295,False,False,0.295,0,0.295,False,False,0.3220833333333333,False,0.3220833333333333
1975-09-18,0.238,False,False,0.238,0,0.238,False,False,0.2498749999999999,False,0.2498749999999999
1975-09-19,0.057,False,False,0.057,0,0.057,False,False,0.0947083333333333,False,0.0947083333333333
1975-09-20,-0.125,True,False,,1,0.057,True,False,0.057,False,0.057
1975-09-21,0.057,False,False,0.057,0,0.057,False,False,0.057,False,0.057
1975-09-22,-0.125,True,False,,1,0.057,True,False,0.057,False,0.057
1975-09-23,0.057,False,False,0.057,0,0.057,False,False,0.057,False,0.057
1975-09-24,0.057,False,False,0.057,0,0.057,False,False,0.057,False,0.057
1975-09-25,0.057,False,False,0.057,0,0.057,False,False,0.057,False,0.057
1975-09-26,0.057,False,False,0.057,0,0.057,False,False,0.057,False,0.057
1975-09-27,0.63,False,False,0.63,0,0.63,False,False,0.510625,False,0.510625
1975-09-28,0.255,False,False,0.255,0,0.255,False,False,0.333125,False,0.333125
1975-09-29,0.255,False,False,0.255,0,0.255,False,False,0.255,False,0.255
1975-09-30,0.073,False,False,0.073,0,0.073,False,False,0.1109166666666666,False,0.1109166666666666
1975-10-01,,False,True,,1,0.1639999999999999,True,False,0.1450416666666666,False,0.1450416666666666
1975-10-02,0.255,False,False,0.255,0,0.255,False,False,0.2360416666666666,False,0.2360416666666666
1975-10-03,0.255,False,False,0.255,0,0.255,False,False,0.255,False,0.255
1975-10-04,0.618,False,False,0.618,0,0.618,False,False,0.542375,False,0.542375
1975-10-05,0.437,False,False,0.437,0,0.437,False,False,0.4747083333333333,False,0.4747083333333333
1975-10-06,0.255,False,False,0.255,0,0.255,False,False,0.2929166666666666,False,0.2929166666666666
1975-10-07,0.238,False,False,0.238,0,0.238,False,False,0.2415416666666666,False,0.2415416666666666
1975-10-08,-0.125,True,False,,1,0.1475,True,False,0.1663541666666666,False,0.1663541666666666
1975-10-09,0.057,False,False,0.057,0,0.057,False,False,0.0758541666666666,False,0.0758541666666666
1975-10-10,0.238,False,False,0.238,0,0.238,False,False,0.2002916666666666,False,0.2002916666666666
1975-10-11,0.113,False,False,0.113,0,0.113,False,False,0.1390416666666666,False,0.1390416666666666
1975-10-12,0.505,False,False,0.505,0,0.505,False,False,0.4233333333333333,False,0.4233333333333333
1975-10-13,0.505,False,False,0.505,0,0.505,False,False,0.505,False,0.505
1975-10-14,0.113,False,False,0.113,0,0.113,False,False,0.1946666666666666,False,0.1946666666666666
1975-10-15,0.449,False,False,0.449,0,0.449,False,False,0.379,False,0.379
1975-10-16,0.17,False,False,0.17,0,0.17,False,False,0.228125,False,0.228125
1975-10-17,0.057,False,False,0.057,0,0.057,False,False,0.0805416666666666,False,0.0805416666666666
1975-10-18,0.142,False,False,0.142,0,0.142,False,False,0.1242916666666666,False,0.1242916666666666
1975-10-19,0.512,False,False,0.512,0,0.512,False,False,0.4349166666666667,False,0.4349166666666666
1975-10-20,0.49,False,False,0.49,0,0.49,False,False,0.4945833333333333,False,0.4945833333333333
1975-10-21,0.518,False,False,0.518,0,0.518,False,False,0.5121666666666667,False,0.5121666666666667
1975-10-22,0.518,False,False,0.518,0,0.518,False,False,0.518,False,0.518
