date,raw_inflow,raw_outflow,negative_mask_inflow,negative_mask_outflow,filtered_inflow,filtered_outflow,linear_limit7_inflow,linear_limit7_outflow,negative_mask_utc_inflow,negative_mask_utc_outflow,full_replay_inflow,full_replay_outflow,strict_gap7_utc_inflow,strict_gap7_utc_outflow,CARS_inflow,CARS_outflow
1975-01-17,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.8255,0.142,0.8255,0.142,0.8255,0.142,0.8255000000000001,0.142
1975-01-18,0.919,0.142,0.919,0.142,0.919,0.142,0.919,0.142,0.92,0.142,0.92,0.142,0.92,0.142,0.92,0.142
1975-01-19,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.922,0.142,0.922,0.142,0.922,0.142,0.922,0.142
1975-01-20,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142,0.923,0.142
1975-01-21,0.735,0.142,0.735,0.142,0.735,0.142,0.735,0.142,0.782,0.142,0.782,0.142,0.782,0.142,0.782,0.142
1975-01-22,0.547,0.142,0.547,0.142,0.547,0.142,0.547,0.142,0.5940000000000001,0.142,0.5940000000000001,0.142,0.5940000000000001,0.142,0.5940000000000001,0.142
1975-01-23,0.953,0.142,0.953,0.142,0.953,0.142,0.953,0.142,0.8514999999999999,0.142,0.8514999999999999,0.142,0.8514999999999999,0.142,0.8514999999999999,0.142
1975-01-24,1.354,0.142,1.354,0.142,1.354,0.142,1.354,0.142,1.2537500000000001,0.142,1.2537500000000001,0.142,1.2537500000000001,0.142,1.25375,0.142
1975-01-25,0.547,0.142,0.547,0.142,0.547,0.142,0.547,0.142,0.74875,0.142,0.74875,0.142,0.74875,0.142,0.74875,0.142
1975-01-26,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142,0.69925,0.142,0.69925,0.142,0.69925,0.142,0.69925,0.142
1975-01-27,1.156,0.142,1.156,0.142,1.156,0.142,1.156,0.142,1.0545,0.142,1.0545,0.142,1.0545,0.142,1.0545,0.142
1975-01-28,0.547,0.142,0.547,0.142,0.547,0.142,0.547,0.142,0.69925,0.142,0.69925,0.142,0.69925,0.142,0.69925,0.142
1975-01-29,0.953,0.142,0.953,0.142,0.953,0.142,0.953,0.142,0.8514999999999999,0.142,0.8514999999999999,0.142,0.8514999999999999,0.142,0.8514999999999999,0.142
1975-01-30,0.345,0.142,0.345,0.142,0.345,0.142,0.345,0.142,0.49699999999999994,0.142,0.49699999999999994,0.142,0.49699999999999994,0.142,0.4969999999999999,0.142
1975-01-31,0.953,0.142,0.953,0.142,0.953,0.142,0.953,0.142,0.8009999999999999,0.142,0.8009999999999999,0.142,0.8009999999999999,0.142,0.8009999999999999,0.142
1975-02-01,0.345,0.142,0.345,0.142,0.345,0.142,0.345,0.142,0.49699999999999994,0.142,0.49699999999999994,0.142,0.49699999999999994,0.142,0.4969999999999999,0.142
1975-02-02,0.745,0.142,0.745,0.142,0.745,0.142,0.745,0.142,0.645,0.142,0.645,0.142,0.645,0.142,0.645,0.142
1975-02-03,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142,0.74875,0.142,0.74875,0.142,0.74875,0.142,0.74875,0.142
1975-02-04,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142
1975-02-05,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142,0.75,0.142
1975-02-06,0.345,0.142,0.345,0.142,0.345,0.142,0.345,0.142,0.44625,0.142,0.44625,0.142,0.44625,0.142,0.44625,0.142
1975-02-07,0.547,0.142,0.547,0.142,0.547,0.142,0.547,0.142,0.4965,0.142,0.4965,0.142,0.4965,0.142,0.4965,0.142
1975-02-08,0.547,0.142,0.547,0.142,0.547,0.142,0.547,0.142,0.547,0.142,0.547,0.142,0.547,0.142,0.547,0.142
