country,ID,index_right,MAIN_BAS,ambiguous
US,956,14673,7060047060.0,False
US,982,14591,7060047060.0,False
US,989,14591,7060047060.0,False
BR,1131,11559,6060007000.0,False
BR,1145,12268,6060011780.0,False
BR,1146,12268,6060011780.0,False
BR,1147,12268,6060011780.0,False
BR,1154,12783,6060016970.0,False
BR,1165,12746,6060016970.0,False
BR,1166,12720,6060016970.0,False
BR,1167,12748,6060016970.0,False
BR,1168,12740,6060016970.0,False
BR,1169,12740,6060016970.0,False
BR,1170,12740,6060016970.0,False
BR,1174,12778,6060016970.0,False
BR,1175,12755,6060016970.0,False
BR,1176,12717,6060016970.0,False
BR,1177,12725,6060016970.0,False
BR,1178,12437,6060013750.0,False
BR,1179,12627,6060016970.0,False
BR,1182,12681,6060016970.0,False
BR,1183,12681,6060016970.0,False
BR,1186,12437,6060013750.0,False
BR,1187,12437,6060013750.0,False
BR,1191,12757,6060016970.0,False
BR,1192,12757,6060016970.0,False
BR,1195,12617,6060016970.0,False
BR,1196,12632,6060016970.0,False
BR,1198,12632,6060016970.0,False
BR,1199,12517,6060016760.0,False
BR,1200,12517,6060016760.0,False
BR,1201,12457,6060015560.0,False
BR,1202,12457,6060015560.0,False
BR,13435,12427,6060013420.0,False
BR,13477,12755,6060016970.0,False
BR,197,12186,6060009760.0,False
BR,198,12270,6060011780.0,False
BR,201,12065,6060007950.0,False
BR,202,12070,6060007950.0,False
BR,203,12354,6060011780.0,False
BR,204,12720,6060016970.0,False
BR,205,12753,6060016970.0,False
BR,206,12708,6060016970.0,False
BR,207,12748,6060016970.0,False
BR,208,12687,6060016970.0,False
BR,209,12740,6060016970.0,False
BR,210,12738,6060016970.0,False
BR,211,12740,6060016970.0,False
BR,212,12710,6060016970.0,False
BR,213,12671,6060016970.0,False
BR,214,12740,6060016970.0,False
BR,215,12663,6060016970.0,False
BR,216,12671,6060016970.0,False
BR,217,12671,6060016970.0,False
BR,218,12725,6060016970.0,False
BR,219,12627,6060016970.0,False
BR,220,12627,6060016970.0,False
BR,221,12689,6060016970.0,False
BR,222,12694,6060016970.0,False
BR,223,12437,6060013750.0,False
BR,225,12605,6060016970.0,False
BR,226,12617,6060016970.0,False
BR,228,12517,6060016760.0,False
BR,229,12457,6060015560.0,False
BR,26,11970,6060007950.0,False
BR,27,12276,6060011780.0,False
BR,28,12670,6060016970.0,False
BR,28512,12757,6060016970.0,False
BR,29,12626,6060016970.0,False
BR,30,12604,6060016970.0,False
BR,3464,12420,6060013420.0,False
BR,3472,12681,6060016970.0,False
BR,3481,12441,6060014460.0,False
BR,3483,12633,6060016970.0,False
BR,3486,12516,6060016760.0,False
BR,3491,12457,6060015560.0,False
BR,40670,12426,6060013420.0,False
BR,40862,12429,6060013430.0,False
BR,41066,12451,6060015560.0,False
BR,6874,12519,6060016760.0,False
BR,6875,12709,6060016970.0,False
BR,6878,12000,6060007950.0,False
BR,6879,12517,6060016760.0,False
BR,6883,12016,6060007950.0,False
BR,7256,12707,6060016970.0,False
BR,7257,12707,6060016970.0,False
BR,7259,12709,6060016970.0,False
BR,7263,12451,6060015560.0,False
BR,7270,12694,6060016970.0,False
BR,7274,12518,6060016760.0,False
BR,7424,12451,6060015560.0,False
BR,8393,12778,6060016970.0,False
BR,8396,12755,6060016970.0,False
BR,8448,12457,6060015560.0,False
